COWCODE,STATE,REG_START,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_PARTY,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_REEXIT,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_RETENURE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_REPOSITION,ELITE_OCCUPATION,EC_GR_2Y
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Wroński, Zygmunt",,30/3/1932,,0,30/4/1981,20/7/1981,49.11780822,49.33972603,0.2219178082,Demotion,No Punishment,Kania,,Engineer,0.2
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Wrzaszczyk, Tadeusz",,12/9/1932,1/6/2002,0,12/12/1975,24/8/1980,43.27671233,47.98082192,4.704109589,Demotion,No Punishment,Gierek,,Engineer,0.2
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Żabiński, Andrzej",,28/5/1938,17/3/1988,0,24/8/1980,20/7/1981,42.27123288,43.17534247,0.904109589,Demotion,No Punishment,Kania,,Sociologist,0.2
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Zambrowski, Roman",,15/7/1909,19/8/1977,0,12/12/1945,6/7/1963,36.43561644,54.0109589,17.57534247,Resignation,No Punishment,Gomułka,,Party functionary,0.2
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Żandarowski, Zdzisław",,23/8/1929,4/7/1994,0,15/2/1980,24/8/1980,50.51506849,51.03835616,0.5232876712,Demotion,No Punishment,Gierek,,Lawyer,0.2
290,Poland,31/12/1944,18/6/1989,Polish United Workers' Party (PZPR),Politburo,"Zawadzki, Alekander",,12/16/1899,7/8/1964,0,3/11/1948,7/8/1964,48.91506849,64.68493151,15.76986301,Death,,Gomułka,,Worker,0.2
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Leng Sary,,24/10/1925,14/3/2013,0,17/4/1975,7/1/1979,49.51232877,53.24109589,3.728767123,Regime Change,,,,Teacher,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Ke Pauk (Vin),,1/7/1934,15/2/2002,0,11/4/1977,7/1/1979,42.80821918,44.55068493,1.742465753,Regime Change,,,,Party functionary,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Khieu Samphan,,27/7/1931,,0,17/4/1975,7/1/1979,43.75342466,47.48219178,3.728767123,Regime Change,,,,Teacher,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,"Moul Sambath (Nhim Ros, Sombat)",,,11/6/1978,0,17/4/1975,11/6/1978,,,3.153424658,Execution,,Pol Pot,,Soldier,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Noun Chea,,7/7/1926,,0,17/4/1975,7/1/1979,48.8109589,52.53972603,3.728767123,Regime Change,,,,Party functionary,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Pol Pot (Saloth Sar),,19/5/1925,15/4/1998,0,17/4/1975,7/1/1979,49.94520548,53.6739726,3.728767123,Regime Change,,,,Teacher,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,"So Phim (Vanna, Yan)",,1/7/1925,3/6/1978,0,17/4/1975,3/6/1978,49.82739726,52.95890411,3.131506849,Death,,Pol Pot,,Soldier,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Son Sen,,12/6/1930,15/6/1997,0,17/4/1975,7/1/1979,44.87671233,48.60547945,3.728767123,Regime Change,,,,Teacher,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Ta Mok (Ek/Oeung Choeun),,1/7/1925,21/7/2006,0,17/4/1975,7/1/1979,49.82739726,53.55616438,3.728767123,Regime Change,,,,Religious teacher,-6.4
811,Cambodia,17/4/1975,7/1/1979,Communist Party of Kampuchea (CPK),Standing Committee,Vorn Veth (Penh/Sok Thuok),,1/7/1931,2/11/1978,0,17/4/1975,2/11/1978,43.82465753,47.37260274,3.547945205,Execution,,Pol Pot,,Party functionary,-6.4
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Boudiaf, Mohamed",,23/6/1919,29/6/1992,0,14/1/1992,29/6/1992,72.6109589,73.06849315,0.4575342466,Death - Assassination,,Boudiaf,Chair,Party Functionary,1.35
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Kafi, Ali",,7/10/1928,16/4/2013,0,14/1/1992,31/1/1994,63.31232877,65.36164384,2.049315068,Ruling Institution Change,OK,Kafi,"Member, Chair (from 1992)",Soldier,1.35
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Malek, Redha",,21/12/1931,29/7/2017,0,2/7/1992,31/1/1994,60.57260274,62.15616438,1.583561644,Ruling Institution Change,OK,Kafi,Member,Ambassador,1.35
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Nezzar, Khaled",,25/12/1937,,0,14/1/1992,31/1/1994,54.09041096,56.13972603,2.049315068,Ruling Institution Change,OK,Kafi,Member,Soldier,1.35
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Haroun, Ali",,8/2/1927,,0,14/1/1992,31/1/1994,64.97534247,67.02465753,2.049315068,Ruling Institution Change,OK,Kafi,Member,Lawyer,1.35
615,Algeria,14/1/1992,2/4/2019,,High Committee of State,"Haddam, Tedjini",,11/1/1921,20/3/2000,0,14/1/1992,31/1/1994,71.05479452,73.10410959,2.049315068,Ruling Institution Change,OK,Kafi,Member,Medical Doctor,1.35
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Videla, Jorge",,2/8/1925,17/5/2013,0,24/3/1976,29/3/1981,50.67671233,55.69315068,5.016438356,Expulsion,No Punishment,Viola,,Army officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Viola, Roberto",,13/10/1924,30/9/1994,0,31/7/1978,10/12/1981,53.83287671,57.19726027,3.364383562,Resignation,No Punishment,Galtieri,,Army officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Galtieri, Leopoldo",,15/7/1926,12/1/2003,0,28/12/1979,18/6/1982,53.49041096,55.96438356,2.473972603,Resignation,No Punishment,Bignone,,Army officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Nicolaides, Cristino",,2/1/1925,22/1/2011,0,18/6/1982,10/12/1983,57.49589041,58.97534247,1.479452055,Regime Change,.,.,,Army officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Agosti, Orlando",,22/8/1924,6/10/1997,0,24/3/1976,25/1/1979,51.62191781,54.4630137,2.84109589,Resignation,No Punishment,Videla,,Air Force officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Graffigna, Omar",,2/4/1926,9/12/2019,0,25/1/1979,17/12/1981,52.85205479,55.74794521,2.895890411,Resignation,No Punishment,Galtieri,,Air Force officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Lami Dozo, Basilio",,1/2/1929,1/2/2017,0,17/12/1981,17/8/1982,52.90958904,53.57534247,0.6657534247,Resignation,No Punishment,Bignone,,Air Force officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Hughes, Augusto Jorge",,1/7/1931,1/7/1993,0,17/8/1982,10/12/1983,51.16438356,52.47945205,1.315068493,Regime Change,.,.,,Air Force officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Massera, Emilio",,19/10/1925,8/11/2010,0,24/3/1976,15/9/1978,50.4630137,52.94246575,2.479452055,Resignation,No Punishment,Videla,,Naval officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Lambruschini, Armanda",,15/6/1924,15/8/2004,0,15/9/1978,11/9/1981,54.28767123,57.27945205,2.991780822,Resignation,No Punishment,Viola,,Naval officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Anaya, Jorge",,27/9/1926,9/1/2008,0,11/9/1981,1/10/1982,54.99452055,56.04931507,1.054794521,Resignation,No Punishment,Bignone,,Naval officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Franco, Ruben",,8/8/1927,,0,1/10/1982,5/12/1983,55.18630137,56.36438356,1.178082192,Regime Change,.,.,,Naval officer,-1
160,Argentina,24/3/1976,30/10/1983,,Junta Militar de Gobierno,"Bignone, Reynaldo",,21/1/1928,7/3/2018,0,1/7/1982,10/12/1983,54.47945205,55.92328767,1.443835616,Regime Change,.,.,,Army officer,-1
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Aramburu, Pedro Eugenio",,21/5/1903,1/6/1970,0,13/11/1955,1/5/1958,52.51780822,54.98356164,2.465753425,Regime Change,,,President,Army officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Ossorio Arana, Arturo",,8/11/1902,6/12/1967,0,9/11/1955,17/5/1957,53.03835616,54.55890411,1.520547945,Resignation,No Punishment,Aramburu,Minister of War,Army officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Majó, Victor Jaime",,9/20/1881,8/3/1959,0,20/5/1957,1/5/1958,75.71232877,76.66027397,0.9479452055,Regime Change,,,Minister of War,Army officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Rojas, Isaac",,3/12/1906,13/4/1993,0,21/9/1955,1/5/1958,48.83287671,51.44383562,2.610958904,Regime Change,,,Vice President,Naval officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Hartung, Teodoro",,13/9/1900,3/11/1969,0,23/9/1955,1/5/1958,55.0630137,57.66849315,2.605479452,Regime Change,,,Minister of the Navy,Naval officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Abrahín, Ramón Amado",,2/4/1914,16/10/2001,0,24/9/1955,4/1/1956,41.50684932,41.78630137,0.2794520548,Resignation,No Punishment,Aramburu,Minister of Aeronautics,Air Force Officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"Krause, Julio César",,27/11/1916,1/6/2007,0,4/1/1956,2/4/1957,39.12876712,40.37260274,1.243835616,Resignation,No Punishment,Aramburu,Minister of Aeronautics,Air Force Officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,"McLoughlin, Eduardo F.",,13/5/1918,9/1/1998,0,2/4/1957,7/8/1957,38.91506849,39.2630137,0.3479452055,Resignation,No Punishment,Aramburu,Minister of Aeronautics,Air Force Officer,4
160,Argentina,16/9/1955,23/2/1968,,Consejo Militar Revolucionario,Landaburu Horacio,,13/3/1920,8/12/1978,0,7/8/1957,1/5/1958,37.42739726,38.15890411,0.7315068493,Regime Change,,,Minister of Aeronautics,Air Force Officer,4
160,Argentina,28/6/1966,11/3/1973,,Revolutionary Board,"Gnavi, ADM Pedro Alberto Jose",,1/7/1917,1/7/1990,0,14/6/1970,3/1/1972,52.9890411,54.54520548,1.556164384,Resignation,OK,Lanusse,Member,Naval officer,2.2
160,Argentina,28/6/1966,11/3/1973,,Revolutionary Board,"Lanusse, LTG Alejandro Augustin",,28/8/1918,26/8/1996,0,14/6/1970,11/3/1973,51.83013699,54.57260274,2.742465753,Regime Change,.,.,Chair (from 1971),Army officer,2.2
160,Argentina,28/6/1966,11/3/1973,,Revolutionary Board,"Rey, BG Carlos Alberto",,4/1/1922,29/5/2017,0,14/6/1970,11/3/1973,48.4739726,51.21643836,2.742465753,Regime Change,.,.,Member,Air Force officer,2.2
160,Argentina,28/6/1966,11/3/1973,,Revolutionary Board,"Levingston, BG Roberto Marcelo",,10/1/1920,17/6/2015,0,14/6/1970,22/3/1971,50.46027397,51.23013699,0.7698630137,Expulsion,OK,Lanusse,Chair (to 1971),Army officer,2.2
160,Argentina,28/6/1966,11/3/1973,,Revolutionary Board,"Coda, ADM Carlos Guido Natal",,24/12/1918,14/12/2004,0,3/1/1972,11/3/1973,53.0630137,54.24931507,1.18630137,Regime Change,.,.,Member,Naval officer,2.2
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Benavides, César",,12/3/1912,25/3/2011,0,11/3/1981,1/12/1985,69.04383562,73.77260274,4.728767123,Resignation,No punishment,Pinochet,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Busch, Jorge Martínez",,13/9/1936,14/10/2011,0,8/3/1990,11/3/1990,53.51780822,53.5260274,0.008219178082,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Canessa, Julio",,19/3/1925,24/1/2015,0,1/12/1985,1/1/1987,60.74520548,61.83013699,1.084931507,Resignation,No punishment,Pinochet,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Gordon, Humberto",,21/9/1927,15/6/2000,0,1/1/1987,30/11/1988,59.32054795,61.23561644,1.915068493,Resignation,No Punishment,Pinochet,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Leigh, Gustavo",,19/9/1920,29/9/1999,0,11/9/1973,24/7/1978,53.01369863,57.88219178,4.868493151,Expulsion,No Punishment,Pinochet,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Lucar, Jorge",,6/1/1934,,0,2/1/1990,11/3/1990,56.02739726,56.21369863,0.1863013699,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Matthei, Fernando",,11/7/1925,19/11/2017,0,24/7/1978,11/3/1990,53.07123288,64.70958904,11.63835616,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Mendoza, César",,11/9/1918,13/9/1996,0,11/9/1973,2/8/1985,55.03835616,66.9369863,11.89863014,Resignation,No Punishment,Pinochet,,Police officer,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Merino, José Toribio",,14/12/1915,30/8/1996,0,11/9/1973,8/3/1990,57.78356164,74.28219178,16.49863014,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Pinochet, Augusto",,25/11/1915,10/12/2006,0,11/9/1973,11/3/1990,57.83561644,74.34246575,16.50684932,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Sinclair, Santiago",,29/12/1927,,0,30/11/1988,2/1/1990,60.96438356,62.05479452,1.090410959,Regime Change,,,,Soldier,8.6
155,Chile,11/9/1973,11/3/1990,,Junta Militar de Gobierno,"Stange, Rodolfo",,30/9/1925,,0,2/8/1985,11/3/1990,59.87945205,64.48767123,4.608219178,Regime Change,,,,Police officer,8.6
100,Colombia,10/5/1957,7/8/1958,,Junta Military de Gobierno,"Paris Gordillo, Gen. Gabriel",,8/3/1908,.,0,10/5/1957,7/8/1958,49.20547945,50.44931507,1.243835616,Regime Change,.,.,Chair,Army officer,-0.5
100,Colombia,10/5/1957,7/8/1958,,Junta Military de Gobierno,"Fonseca Espinosa, Gen. Deogracias",,21/3/1908,.,0,10/5/1957,7/8/1958,49.16986301,50.41369863,1.243835616,Regime Change,.,.,Police,Military Police officer,-0.5
100,Colombia,10/5/1957,7/8/1958,,Junta Military de Gobierno,"Piedrahita Arango, VADM Ruben",,5/9/1910,22/8/1979,0,10/5/1957,7/8/1958,46.70958904,47.95342466,1.243835616,Regime Change,.,.,Navy,Naval officer,-0.5
100,Colombia,10/5/1957,7/8/1958,,Junta Military de Gobierno,"Navas Pardo, BG Rafael",,2/2/1908,14/5/1990,0,10/5/1957,7/8/1958,49.30136986,50.54520548,1.243835616,Regime Change,.,.,Army,Army officer,-0.5
100,Colombia,10/5/1957,7/8/1958,,Junta Military de Gobierno,"Ordonez Castillo, BG Luis Ernesto",,7/1/1914,19/5/1990,0,10/5/1957,7/8/1958,43.36712329,44.6109589,1.243835616,Regime Change,.,.,Army,Army officer,-0.5
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Blanco Cervantes, Raúl",,10/4/1903,7/5/1979,0,8/5/1948,8/11/1949,45.10958904,46.61369863,1.504109589,Regime Change,,,,Physician,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Cardona Quirós, Edgar",,18/4/1916,12/1/2001,0,8/5/1948,2/4/1949,32.07671233,32.97808219,0.901369863,Expulsion,Incarceration,Figueres Ferrer,,Soldier,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Facio Segreda, Gonzalo",,28/3/1918,24/1/2018,0,8/5/1948,8/11/1949,30.13424658,31.63835616,1.504109589,Regime Change,,,,Lawyer,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Figueres Ferrer, José",,25/9/1906,8/6/1990,0,8/5/1948,8/11/1949,41.64657534,43.15068493,1.504109589,Regime Change,,,,Agronomist,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Gámez Solano, Uladislao",,8/8/1909,12/1/2005,0,8/5/1948,8/11/1949,38.77534247,40.27945205,1.504109589,Regime Change,,,,Teacher,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Martén Chavarría, Alberto",,26/3/1909,26/12/2009,0,8/5/1948,26/4/1949,39.14520548,40.11232877,0.9671232877,Resignation,No Punishment,Figueres Ferrer,,Public intellectual,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Masís Dibiasi, Bruce",,1/7/1909,1/7/1956,0,8/5/1948,8/11/1949,38.87945205,40.38356164,1.504109589,Regime Change,,,,Entrepreneur,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Núñez Vargas, Benjamín",,24/1/1915,19/9/1994,0,8/5/1948,8/11/1949,33.30958904,34.81369863,1.504109589,Regime Change,,,,Trade unionist,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Odio Odio, Benjamín",,15/8/1908,11/11/1956,0,8/5/1948,12/9/1949,39.75616438,41.10410959,1.347945205,Demotion,No Punishment,Figueres Ferrer,,Director of National Registry,1.31
94,Costa Rica,8/5/1948,8/11/1949,,Junta Fundadora,"Orlich Bolmarcich, Francisco Jose",,10/3/1907,29/10/1969,0,8/5/1948,8/11/1949,41.19178082,42.69589041,1.504109589,Regime Change,,,,Politician,1.31
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Ackermann, Anton",,25/11/1905,4/5/1973,0,25/7/1950,26/7/1953,44.69315068,47.69863014,3.005479452,Expulsion,No Punishment,Ulbricht,,Unskilled laborer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Apel, Erich",,3/10/1917,3/12/1965,0,3/7/1961,3/12/1965,43.77808219,48.2,4.421917808,Death,,Ulbricht,,Toolmaker,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Axen, Hermann",,6/3/1916,15/2/1992,0,21/1/1963,8/11/1989,46.90958904,73.7260274,26.81643836,Resignation,No Punishment,Krenz,,Journalist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Bartsch, Karl-Heinz",,25/11/1923,19/7/2003,0,21/1/1963,8/2/1963,39.18356164,39.23287671,0.04931506849,Expulsion,No Punishment,Ulbricht,,Agricultural assistant,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Baumann, Edith",,1/8/1909,7/4/1973,1,16/7/1958,21/1/1963,48.9890411,53.50958904,4.520547945,Demotion,No Punishment,Ulbricht,,Typist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Böhme, Hans-Joachim",,29/12/1929,4/9/2012,0,21/4/1986,10/11/1989,56.34794521,59.90684932,3.55890411,Resignation,No Punishment,Krenz,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Chemnitzer, Johannes",,24/3/1929,,0,8/11/1989,10/11/1989,60.66849315,60.6739726,0.005479452055,Resignation,No Punishment,Krenz,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Dahlem, Franz",,1/14/1892,17/12/1981,0,7/10/1949,13/5/1953,57.76712329,61.36712329,3.6,Expulsion,No Punishment,Ulbricht,,Export sales,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Dohlus, Horst",,30/5/1925,28/4/2007,0,22/5/1976,8/11/1989,51.01369863,64.48767123,13.4739726,Resignation,No Punishment,Krenz,,Barber assistant,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Eberlein, Werner",,9/11/1919,11/10/2002,0,22/11/1985,3/12/1989,66.08219178,70.11506849,4.032876712,Regime Change,,,,Interpreter,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Ebert Jr., Friedrich",,9/12/1894,4/12/1979,0,7/10/1949,4/12/1979,55.10410959,85.28219178,30.17808219,Death,,Honecker,,Printer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Ermisch, Luise",,20/5/1916,17/1/2001,1,16/7/1958,21/1/1963,42.18356164,46.70410959,4.520547945,Demotion,No Punishment,Ulbricht,,Dressmaker,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Ewald, Georg",,30/10/1926,14/9/1973,0,21/1/1963,14/9/1973,36.25205479,46.90684932,10.65479452,Death,,Honecker,,Farmer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Felfe, Werner",,4/1/1928,7/9/1988,0,2/10/1973,7/9/1988,45.77534247,60.71780822,14.94246575,Death,,Honecker,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Fröhlich, Paul",,21/3/1913,19/9/1970,0,16/7/1958,19/9/1970,45.35068493,57.5369863,12.18630137,Death,,Ulbricht,,Journalist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Grotewohl, Otto",,3/11/1894,21/9/1964,0,7/10/1949,21/9/1964,55.6109589,70.57808219,14.96712329,Death,,Ulbricht,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Grüneberg, Gerhard",,29/8/1921,10/4/1981,0,10/12/1959,10/4/1981,38.30684932,59.65479452,21.34794521,Death,,Honecker,,Bricklayer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Häber, Herbert",,15/11/1930,,0,24/5/1984,22/11/1985,53.55890411,55.05753425,1.498630137,Resignation,No Punishment,Honecker,,Metalworker,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Hager, Kurt",,10/8/1912,18/9/1998,0,16/7/1958,8/11/1989,45.96164384,77.29863014,31.3369863,Resignation,No Punishment,Krenz,,Journalist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Halbritter, Walter",,17/11/1927,11/4/2003,0,22/4/1967,2/10/1973,39.45479452,45.90684932,6.452054795,Demotion,No Punishment,Ulbricht,,Administrator,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Herger, Wolfgang",,10/8/1935,,0,8/11/1989,3/12/1989,54.28493151,54.35342466,0.06849315068,Regime Change,,,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Herrmann, Joachim",,29/10/1928,30/7/1992,0,2/10/1973,18/10/1989,44.95616438,61.0109589,16.05479452,Resignation,No Punishment,Krenz,,Journalist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Herrnstadt, Rudolf",,17/3/1903,28/8/1966,0,25/7/1950,26/7/1953,47.3890411,50.39452055,3.005479452,Expulsion,No Punishment,Ulbricht,,Newspaper editor,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Hoffmann, Karl-Heinz",,28/11/1910,2/12/1985,0,2/10/1973,2/12/1985,62.88767123,75.0630137,12.17534247,Death,,Honecker,,Mechanic,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Honecker, Erich",,25/8/1912,29/5/1994,0,25/7/1950,18/10/1989,37.93972603,77.2,39.26027397,Resignation,No Punishment,Krenz,,Roofer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Jarowinsky, Werner",,25/4/1927,2/10/1990,0,21/1/1963,3/12/1989,35.76712329,62.65205479,26.88493151,Regime Change,,,,Economist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Jendretzky, Hans",,7/20/1897,2/7/1992,0,25/7/1950,26/7/1953,53.04657534,56.05205479,3.005479452,Expulsion,No Punishment,Ulbricht,,Locksmith,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Kessler, Heinz",,26/1/1920,2/5/2017,0,21/4/1986,3/12/1989,66.27945205,69.90136986,3.621917808,Regime Change,,,,Machinist,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Kleiber, Günther",,16/9/1931,29/3/2013,0,22/4/1967,8/11/1989,35.62191781,58.18630137,22.56438356,Resignation,No Punishment,Krenz,,Graduate engineer,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Krenz, Egon",,19/3/1937,,0,22/5/1976,3/12/1989,39.20273973,52.74520548,13.54246575,Regime Change,,,,Teacher,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Krolikowski, Werner",,12/3/1928,,0,19/6/1971,8/11/1989,43.29863014,61.70136986,18.40273973,Resignation,No Punishment,Krenz,,Administrator,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Kurella, Alfred",,5/2/1895,12/6/1975,0,15/7/1958,21/1/1963,63.24383561,67.76712328,4.523287671,Demotion,No Punishment,Ulbricht,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Lamberz, Werner",,14/4/1929,6/3/1978,0,11/12/1970,6/3/1978,41.68767123,48.9260274,7.238356164,Death,,Honecker,,Party functionary,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Lange, Ingeburg",,24/7/1927,13/7/2013,1,2/10/1973,10/11/1989,46.22465753,62.34246575,16.11780822,Resignation,No Punishment,Krenz,,Tailor,0.5
265,East Germany,7/10/1949,18/3/1990,Socialist Unity Party of Germany (SED),Politburo,"Lehmann, Helmut",,12/1/1882,9/2/1959,0,7/10/1949,25/7/1950,66.89315068,67.69041096,0.797260274,Resignation,No Punishment,Ulbricht,,Health insurance managing chairman,0.5
